SN,MN,VC,Purchase-Price
Ap9871398043283,A2849,ApA2849256Bl,43900
Ap3781749421223,A2849,ApA2849256Bl,43900
Ap9196847276659,A2849,ApA2849256Bl,43900
Ap0604313515913,A2849,ApA2849256Bl,43900
Ap9252622267575,A2849,ApA2849256Bl,43900
Ap5554103929741,A2849,ApA2849256Bl,43900
Ap2968721981390,A2849,ApA2849256Bl,43900
Ap9184815320086,A2849,ApA2849256Bl,43900
Ap4697110005001,A2849,ApA2849256Bl,43900
Ap5792820781582,A2849,ApA2849256Bl,43900
Ap5137284680946,A2849,ApA2849256Bl,43900
Ap7350044719444,A2849,ApA2849256Bl,43900
Ap4575371136221,A2849,ApA2849256Bl,43900
Ap9194217282396,A2849,ApA2849256Bl,43900
Ap8393198761313,A2849,ApA2849256Bl,43900
Ap1994510095384,A2849,ApA2849256Bl,43900
Ap7783194768408,A2849,ApA2849256Bl,43900
Ap3151597684484,A2849,ApA2849256Bl,43900
Ap8159142669921,A2849,ApA2849256Bl,43900
Ap0950224524254,A2849,ApA2849256Bl,43900
Ap8279982430188,A2849,ApA2849256Bl,43900
Ap0955458538800,A2849,ApA2849256Bl,43900
Ap7763290529513,A2849,ApA2849256Bl,43900
Ap8005906055026,A2849,ApA2849256Bl,43900
Ap5901833215885,A2849,ApA2849256Bl,43900
Ap7539283747319,A2849,ApA2849256Bl,43900
Ap6978801814924,A2849,ApA2849256Bl,43900
Ap6892126849795,A2849,ApA2849256Bl,43900
Ap0500633359215,A2849,ApA2849256Bl,43900
Ap8740181325870,A2849,ApA2849256Bl,43900
Ap5805245929255,A2849,ApA2849256Bl,43900
Ap6565354156219,A2849,ApA2849256Bl,43900
Ap0667186695111,A2849,ApA2849256Bl,43900
Ap2459970861617,A2849,ApA2849256Bl,43900
Ap2865990581348,A2849,ApA2849256Bl,43900
Ap1433574330189,A2849,ApA2849256Bl,43900
Ap5360201079963,A2849,ApA2849256Bl,43900
Ap5761052106268,A2849,ApA2849256Bl,43900
Ap1907455954667,A2849,ApA2849256Bl,43900
Ap7189140104234,A2849,ApA2849256Bl,43900
Ap2367861782273,A2849,ApA2849256Bl,43900
Ap7512557245175,A2849,ApA2849256Bl,43900
Ap0860123933987,A2849,ApA2849256Bl,43900
Ap5058822449147,A2849,ApA2849256Bl,43900
Ap3790130419412,A2849,ApA2849256Bl,43900
Ap4118732274471,A2849,ApA2849256Bl,43900
Ap5166138255614,A2849,ApA2849256Bl,43900
Ap4707227239423,A2849,ApA2849256Bl,43900
Ap4470174075900,A2849,ApA2849256Bl,43900
Ap7438207002269,A2849,ApA2849256Bl,43900
Ap3124770827175,A2849,ApA2849512Bl,52900
Ap6684511812640,A2849,ApA2849512Bl,52900
Ap6524469882716,A2849,ApA2849512Bl,52900
Ap6859645343371,A2849,ApA2849512Bl,52900
Ap1908981416699,A2849,ApA2849512Bl,52900
Ap2136097135433,A2849,ApA2849512Bl,52900
Ap6628559860325,A2849,ApA2849512Bl,52900
Ap7365889138892,A2849,ApA2849512Bl,52900
Ap1511969485472,A2849,ApA2849512Bl,52900
Ap1770582029640,A2849,ApA2849512Bl,52900
Ap7608857184909,A2849,ApA2849512Bl,52900
Ap5711543429314,A2849,ApA2849512Bl,52900
Ap4615088220396,A2849,ApA2849512Bl,52900
Ap9254096604205,A2849,ApA2849512Bl,52900
Ap3245326508358,A2849,ApA2849512Bl,52900
Ap9379275205264,A2849,ApA2849512Bl,52900
Ap7669929344251,A2849,ApA2849512Bl,52900
Ap7886988483174,A2849,ApA2849512Bl,52900
Ap7383853516448,A2849,ApA2849512Bl,52900
Ap2085896580339,A2849,ApA2849512Bl,52900
Ap2562688729206,A2849,ApA2849512Bl,52900
Ap0093119641466,A2849,ApA2849512Bl,52900
Ap1316609794145,A2849,ApA2849512Bl,52900
Ap8493130479159,A2849,ApA2849512Bl,52900
